job,salary,company,description,belong,experience,edu,address,address_detail
JAVA高级工程师,7千-1万,安徽容知日新科技股份有限公司,岗位职责：1.参与产品的架构设计、性能优化和重构等开发迭代工作；2.完成软件系统代码的实现，编写代码注释和开发文档；3.辅助进行系统的功能定义，程序设计；4.负责解决产品运用遇到的技术难题；5.处理所开发软件系统测试的BUG。任职要求：1、熟悉Java技术，有大型项目架构经验者优先。2、熟练掌握大数据相关的开发技术（Kafka、Spark、Hadoop等）。3、熟悉公有云平台（AWS、阿里云）或者PAAS平台（CloudFoundry）优先,互联网/电子商务 ,3-5年,本科,合肥,安徽合肥高新区望江西路800号动漫基地B1栋5楼
高级软件开发工程师,1.5万-1.8万,上海佩琪信息技术有限公司,"岗位职责：1、负责编写数据中心后台数据处理程序，如数据抽取、转换、分析、处理、入库等；2、负责后台数据分析；3、负责数据分析平台性能优化；4、负责实时数据采集、运算；5、负责分析成果数据应用；6、负责需求分析的数据快速准备；岗位要求：1、具有C#开发经验至少3年以上，掌握或精通WCF/WF技术；2、精通C#开发，能够编写复杂灵活且高性能的多线程数据处理；3、精通ORACLE/SQLSERVER数据库，能熟练编写存储过程，函数及SQL语句；4、掌握商业或开源的报表工具和服务，可以基于ORACLE/SQLSERVER/MYSQL数据库的；5、对海量数据处理和分析有实践经验，了解数据挖掘相关知识，有大数据处理经验优先；6、熟练使用流行的ETL工具或框架，如SSIS,Kettle；7、有JAVA及Javascript开发经验者优先；8、具有分布式计算经验者优先，如Hadoop；",互联网/电子商务 ,3-5年,大专,合肥,合肥高新区
急聘java开发实习生 3500起+双休,4千-6千,北京奥拓思维软件有限公司合肥分中心,任职资格：1、年龄18-35岁；2、大学专科及以上学历，经验不限，应届生亦可；3、具备一定的计算机操作或计算机语言基础；4、热衷软件开发行业，有良好的学习能力和逻辑思维能力。5、有良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量；福利待遇：1.底薪3500起，不包含项目奖金和提成2.提供住宿，餐补，单身公寓，五险一金，双休3公司为优秀员工提供可持续职业晋升机会：实习生--初级软件工程师---中级软件工程师---高级软件工程师---项目经理---技术总监联系人：沈经理联系电话：18056045900QQ：21713891151.公司地址：合肥市高新区望江西路800号创新产业园D7栋5楼、7楼2.公司网址：http://www.auto-serve.com,互联网/电子商务 ,,大专,合肥,安徽省合肥市高新区望江西路800号动漫基地D7栋5、7
GIS开发工程师,8千-1万,合肥亿图网络科技有限公司,1）地理信息或相关专业（计算机专业要求有GIS项目开发经验），专科及以上学历，二年以上相关工作经验，带领过团队，负责过项目的优先；2）熟悉ArcGISDesktop的使用；3）熟悉ArcGISServer开发，了解引擎结构和对外交互方式；熟悉ArcGIS客户端开发，有Ajax开发的经验4）熟悉Web前端技术，包括XHTML/XML/JSON/CSS/Javascript等5）具有较强的学习能力，独立解决问题的能力，良好的表达和沟通能力。,互联网/电子商务 ,1-3年,大专,合肥,合肥市经开区莲花电子商务产业园D座303-305 
Java高级讲师及助教（北城）,1万-1.5万,合肥金方网络科技有限公司,本公司是北大青鸟计算机培训中心。Java高级讲师工作职责：教学、实训和软件项目开发（Java教学助理工作职责：辅助讲师工作，待遇面议）职位描述技术要求：1、熟悉Java语言，熟练使用Java技术实现B/S网站制作技术2、熟练编写SQL语句，使用MySQL、Oracle11g数据库其中一项。3、熟练使用HTML、JavaScript制作网页，4、熟练使用JQuery、ExtJS、Ajax等技术者优先。5、熟练掌握Web开发技术（JSP、Servlet、JDBC）。6、精通基于J2EE架构的Java核心语法（struts1、struts2、hibernate、spring）。7、两年以上实际开发经验任职要求：1、大专及以上学历，25岁以上；2、语言表达清楚、流畅、逻辑思维清晰，有亲和力；3、沟通能力强，责任心强，热衷于技术培训工作4、具备团队协作精神和较强的学习能力5、有教学培训经验优先。,互联网/电子商务 ,3-5年,大专,合肥,合肥合肥阜阳北路、蒙城北路与北城大道（东方大道）交口创智天地
BI工程师（合肥）,5千-8千,上海宽文是风软件有限公司,"基本条件：1、较好的沟通能力,理解能力,适应能力；2、勤奋,敬业,主动性和责任心强；岗位技能：1、熟知BI理论体系，了解DW方法实施理论，熟悉业务维度设计2、精通ETL开发和实施理论，了解BI数据流程和BI模型体系3、精通数据仓库、数据集市等平台构建基础知识、了解OLAP/BO等展现报表开发和程序维护4、精通SQL和存储过程，熟知SQL优化5、良好的语言沟通与表达能力和自我驱动动力，优秀的学习能力，良好的心理素质和抗压能力，有良好的团队意识岗位职责：1、数据仓库的设计与研发，建立体系化的数据资产；2、对接相关业务团队进行数据梳理，清洗并协助分析完成业务数据化管理的目标；3、对业务团队进行数据能力输出，并且负责与业务平台进行数据对接加入宽文，你可获得以下福利：1、薪酬：薪资+补贴+年终奖2、福利：1）非外包的工作模式，试用期开始缴纳“五险一金”；2）周末双休+年休假+带薪病假3）定期的健康检查、部门旅游、野外拓展等活动；4）交餐补、节假日福利、生日会礼品、下午茶；5）宽敞明亮、先进舒适的互联网式的人性化办公环境，公司内设有茶水间、休闲区、影音室以及用于休闲和放松的游戏机、咖啡机、足球桌。3、发展空间：依靠上海总部的管理支撑，每年一次的加薪机会，技术和管理双向发展机会和晋升空间，只要你有足够能力和梦想，宽文就会足够大的平台和机会。",互联网/电子商务 ,1年以下,本科,合肥,合肥市蜀山区长江西路189号之心城A座1606-1607室
"软件开发工程师（C++,net方向）",1万-1.5万,合肥置顶信息技术有限公司,"任职要求：5年以上开发经验，有英文基础。熟练掌握HTML,JavaScript,jQuery,CSS,SQL,C#等开发语言及工具。熟练掌握ASP.NETWeb开发，能够熟练使用VisualStuidio2010，熟悉TeamFoundationServer者更佳。熟悉SQL语言及数据库设计，能够熟练使用MSSQLServer2008。前期需要到公司了解，熟悉产品后可以远程完成。岗位要求：1、本科及以上学历，计算机、遥感、地理信息系统、测绘或相关专业；2、有良好的团队合作精神，有较好的项目开发经验；福利：★五项社会保险与公积金★双休，法定节假日，年休假★员工旅游★健康体检★生日礼金★享受餐补★提供工作零食★提供咖啡★薪资每年上浮递增★年终奖★享受年度企业税前利润分红公司地址：高新区地址：合肥市高新区天元路3号创新软件园庐阳区地址：合肥市庐阳区灵溪路与时雨路交口东北角庐阳工投产业园1#9楼公司网址：www.topinfo-tech.com",互联网/电子商务 ,,本科,合肥,合肥市
高级软件工程师,1万-1.5万,合肥置顶信息技术有限公司,"岗位要求：5年以上开发经验，有英文基础。熟练掌握HTML,JavaScript,jQuery,CSS,SQL,C#等开发语言及工具。熟练掌握ASP.NETWeb开发，能够熟练使用VisualStuidio2010，熟悉TeamFoundationServer者更佳。熟悉SQL语言及数据库设计，能够熟练使用MSSQLServer2008。有远程医疗项目开发经验者更佳。福利：★五项社会保险与公积金★双休，法定节假日，年休假★员工旅游★健康体检★生日礼金★享受餐补★提供工作零食★提供咖啡★薪资每年上浮递增★年终奖★享受年度企业税前利润分红工作地点，高新区与庐阳区可任意选择：高新区办公室：合肥市高新区天元路3号软件园2号楼3层庐阳区办公室：合肥市庐阳工业区时雨路与灵溪路交口工投兴庐科技产业园1号楼9层公司网址：www.topinfo-tech.cn",互联网/电子商务 ,,学历不限,合肥,合肥市
GIS开发工程师（C/S）,1万-1.5万,北京航天泰坦科技股份有限公司,待遇面议，薪资open！面试请携带个人作品。职位描述：（1）遵守公司管理制度开展日常工作；（2）辅助技术经理进行GIS相关功能点开发工作；（3）遵循开发管理流程，编写和完善设计文档。（4）按照项目计划及时高质量的完成项目设计和开发任务；（5）配合项目全周期中设计、测试、安装部署和验收等工作。任职资格：（1）基于GISWinForm方面二次开发工作，三年及以上开发经验；（2）精通使用VisualC++、VisualC#、Python、Go语言至少掌握一门以上，熟悉.Net平台开发；（3）熟悉地理信息系统和ArcGIS系列软件平台，熟悉ArcEngine二次开发；（4）熟悉常用SQL语句，对Oracle，SQLServer，MySQL等大型数据库及ArcSDE数据引擎；（5）熟悉C/S架构下的开发经验，能独立进行项目调研、系统设计及开发；（6）精通面向对象知识、面向服务、分层架构，熟悉COM／COM+、Windows内核技术优先；（7）具有软件设计，开发和实施能力，具有多个项目的软件设计和开发或实施经验者优先；（8）精通开源GIS平台、其他GIS开发框架者、Dev界面控件开发经验者优先；（9）对并行计算、负载均衡、内存数据库等领域有研究者优先；（10）必须具备很强的责任心。,互联网/电子商务 ,3-5年,本科,合肥,安徽省合肥市政务文化新区金潜广场1102室
JAVA软件工程师（高级）,8千-1.5万,安徽结创软件科技有限公司,"1.计算机或相关专业专科以上学历，二年以上项目管理经验；2.精通JAVA语言，精通J2EE架构，有1个以上大型项目经验；3.熟悉Linux操作系统，精通MySQL、Oracle等数据库；4.能熟练阅读中英文技术文档，富有团队精神,责任感和沟通能力；5.具有独立分析问题和解决问题的能力，工作认真、踏实，责任心强；6.具有良好而规范的编程习惯和技术文挡编写习惯；7.具有良好的学习能力。",互联网/电子商务 ,3-5年,大专,合肥,安徽省合肥市望江西路五彩国际大厦307室
